x y z
-0.002022 -0.0401785 -0.0008630003
0.00040300004 -0.062018503 -0.0054980004
-0.0028630001 -0.0600555 -0.009567001
-0.0019450001 -0.0412555 -0.0013490003
-0.001867 -0.042347502 -0.0019000005
0.0023229998 -0.061788503 -0.0036470005
-0.002731 -0.0602255 -0.0101540005
-0.0022010002 -0.060870502 -0.010271001
0.0011539999 -0.0644485 -0.0076830005
0.0021529999 -0.0642025 -0.0052500004
0.026003 0.017330501 -0.049434002
0.031932 0.0152075 -0.048681002
0.031883 0.0158365 -0.048690002
0.031653002 0.016974501 -0.048704002
0.031419 0.0174855 -0.048706003
0.030846 0.018266499 -0.048718
0.030553002 0.0185765 -0.048723
0.029667001 0.0190875 -0.048734
0.028870001 0.019334499 -0.048739
0.027817 0.019144502 -0.048738003
0.027003001 0.0187625 -0.048752002
0.026449 0.018212501 -0.048764
0.025857002 0.0174755 -0.048738003
0.025632001 0.0163065 -0.048738003
0.025663 0.015828501 -0.048736002
0.025795002 0.0148505 -0.048725
0.026101 0.0138505 -0.048718
0.026283 0.0133315 -0.048711002
0.026721 0.0124335 -0.0487
0.027329002 0.0115735 -0.048686
0.030406002 0.0118675 -0.047962002
0.030863002 0.0124275 -0.047971003
0.031358 0.0133945 -0.047967
0.031669002 0.0142305 -0.047974
0.031836 0.0152375 -0.047978003
0.031822 0.015835501 -0.047992002
0.031630002 0.017003499 -0.048001003
0.031227 0.017911501 -0.048013
0.030631002 0.018669501 -0.04802
0.029822 0.019243501 -0.048038002
0.028878 0.0195065 -0.048045002
0.02789 0.0193975 -0.048036
0.026934002 0.0189875 -0.048047002
0.026229002 0.018430501 -0.048040003
0.025706 0.0176165 -0.048034
0.025481 0.0164385 -0.048038002
0.025534 0.0158565 -0.048034
0.025729 0.0148425 -0.048024002
0.026073001 0.0138435 -0.048017003
0.026205 0.0134795 -0.048013
0.026647002 0.0125735 -0.048004
0.027383 0.0116745 -0.047994003
0.027642 0.0114585 -0.047978003
0.028916001 0.0110705 -0.047976002
0.030093 0.0118995 -0.047273003
0.03069 0.0125895 -0.047271002
0.031209 0.0135335 -0.047266003
0.031505 0.0142775 -0.047276
0.031728 0.0152685 -0.047282003
0.031754002 0.015848499 -0.04729
0.031614 0.0170115 -0.047299
0.031278 0.017934501 -0.047306
0.030684002 0.018802501 -0.047319002
0.029918 0.019367501 -0.047335003
0.028978001 0.0196895 -0.047345
0.027975 0.019667499 -0.047351003
