x y z
-11.8727 -99.2203 1.70294
-12.5139 -99.3039 1.8775
-13.2223 -99.418 1.76199
-10.8084 -99.0647 1.08512
-11.6706 -99.2909 1.16953
-12.7769 -99.4798 1.32196
-13.5865 -99.5113 1.3504
-9.61411 -98.4494 -0.001245
-10.4724 -98.9458 0.501285
-11.3529 -99.3473 0.116968
-12.8802 -99.6106 0.344462
-14.172 -99.5769 0.727903
-9.2767 -97.9071 -0.77408
-10.2403 -98.8859 -0.663401
-11.6522 -99.4815 -0.832837
-13.1566 -99.6784 -1.03872
-14.7233 -99.6149 -0.235323
-15.5191 -99.5716 -0.420996
-9.53453 -98.2936 -1.77501
-10.5287 -99.1244 -1.80275
-11.9552 -99.6077 -1.99253
-13.2374 -99.7739 -1.98463
-14.4585 -99.7129 -1.59474
-15.9272 -99.6066 -1.02433
-17.2354 -99.6722 -1.89983
-18.2579 -99.5441 -2.3436
-9.74868 -98.5928 -2.73778
-10.8066 -99.2107 -2.76553
-11.8428 -99.4823 -2.92052
-12.7192 -99.674 -2.63185
-13.8979 -99.7605 -2.70289
-15.7603 -99.7045 -2.6078
-17.6378 -99.6254 -3.10077
-18.8878 -99.4074 -2.97384
-19.4606 -99.2333 -3.18381
-9.35889 -98.1687 -3.71972
-10.1124 -98.8167 -3.47096
-11.126 -99.2768 -3.63535
-12.6781 -99.6007 -3.59284
-14.5446 -99.7049 -3.83603
-16.5074 -99.5785 -4.11178
-17.8778 -99.5154 -4.05343
-18.6657 -99.4474 -3.71462
-19.2845 -99.3106 -3.52505
-9.32278 -98.1806 -4.61631
-10.1371 -98.7977 -4.41313
-11.5305 -99.4274 -4.59352
-13.2383 -99.5707 -4.80373
-15.1751 -99.5989 -5.18553
-16.7219 -99.4989 -5.16062
-17.7423 -99.4572 -4.82792
-18.6919 -99.3887 -4.50022
-19.3641 -99.2634 -4.11294
-9.61975 -98.4643 -5.33992
-10.5092 -99.1581 -5.46655
-11.968 -99.5207 -5.65104
-13.607 -99.6026 -5.94623
-15.1023 -99.5861 -6.42177
-16.478 -99.5057 -6.0
-17.6767 -99.4154 -5.66884
-18.8527 -99.2539 -5.44085
-19.4082 -99.1707 -4.8155
-9.85378 -98.7648 -6.3184
-10.9001 -99.3934 -6.46787
-12.4055 -99.5775 -6.6544
-13.8325 -99.6542 -6.96107
-15.125 -99.6368 -7.42202
-16.3897 -99.5183 -7.00133
-17.7642 -99.364 -6.54151
-18.4104 -99.2701 -6.00093
-10.112 -99.1578 -7.32304
-11.5019 -99.5749 -7.42662
-12.8347 -99.6717 -7.45705
-13.9484 -99.7924 -7.8616
-15.0994 -99.7552 -8.18911
-16.3746 -99.5714 -8.06779
-17.4811 -99.4056 -7.52649
-9.57668 -98.8055 -8.27525
-10.7606 -99.4761 -8.28743
-12.557 -99.7652 -8.36389
-14.2561 -99.8853 -8.74661
-15.7784 -99.6754 -8.80875
-16.4632 -99.5224 -8.571
-9.55176 -98.8964 -8.98143
-10.171 -99.2904 -9.1077
-11.5783 -99.6558 -9.27074
-13.2566 -99.841 -9.44658
-14.8939 -99.8898 -9.7421
-9.61714 -99.0033 -9.61149
-10.7778 -99.486 -10.2408
-12.3921 -99.6754 -10.1725
-13.9364 -99.8306 -10.3273
-14.6971 -99.8545 -10.2709
-11.2438 -99.5292 -11.0344
-11.8988 -99.5578 -10.8036
-13.0448 -99.5982 -10.9407
-15.7847 -98.212 4.60399
-16.354 -98.2548 4.41501
-17.0438 -98.2618 4.21699
-9.87043 -97.8926 3.25511
-10.7509 -98.4146 2.94844
-12.0131 -98.765 3.00223
-13.2348 -98.797 3.42078
-15.0277 -98.5944 3.99866
-16.444 -98.5585 3.75324
-17.3748 -98.3915 3.74621
-17.9471 -98.2292 3.90321
-18.4361 -98.1119 3.81387
-8.54263 -97.1673 2.26715
-9.3705 -97.8909 2.39269
-10.1525 -98.4611 2.03531
-11.4101 -98.9803 2.0221
-12.6344 -99.0911 2.58767
-13.986 -99.2552 2.39509
-15.7621 -99.0019 2.88481
-17.0292 -98.7527 2.99547
-18.1157 -98.4628 3.18434
-19.0095 -98.1445 3.28158
-8.69253 -97.3285 1.47026
-9.33355 -98.0874 1.51525
-10.1671 -98.6818 1.21609
-11.0091 -99.0505 1.39226
-14.4692 -99.4588 1.41069
-15.3968 -99.315 1.77148
-16.6154 -99.1353 2.05092
-17.7738 -98.8691 2.13302
-19.0672 -98.5149 2.10167
-19.8549 -98.2412 2.17103
-8.49347 -96.7636 0.913178
-9.01249 -97.6784 0.477984
-9.72062 -98.5014 0.550983
-15.1802 -99.4735 0.695009
-16.3107 -99.3408 0.988591
